"","Year","Precipitation","PET","alpha","RDIn","RDIst"
"1",1960,298.1853,1810.36637634369,0.16470991943754,0.638908163916381,-18.0071128898441
"2",1961,324.8836,1724.33833718266,0.188410587988676,0.730842825042479,-16.8327305171062
"3",1962,462.2608,1823.84714546429,0.25345369602359,0.983144403914667,-14.2421475921215
"4",1963,198.8108,1815.80564507326,0.109489030689724,0.424706877435412,-21.574360398958
"5",1964,295.238,1826.83198269171,0.161612016210154,0.626891427645982,-18.1729772509644
"6",1965,388.2849,1834.0834281353,0.211705146038404,0.821202187512079,-15.814423574677
"7",1966,207.4465,1860.04395596332,0.111527740693936,0.432615013569514,-21.4131990121846
"8",1967,394.9018,1795.60245187318,0.219927189110282,0.853095412040595,-15.4815826141677
"9",1968,244.0082,1860.39086685444,0.131159641958773,0.508766966251764,-19.9968064833321
"10",1969,231.0275,1898.50084744825,0.121689437384514,0.472032135483137,-20.651472259463
"11",1970,478.6283,1816.49463856498,0.263490070291709,1.02207540137929,-13.9029079661226
"12",1971,402.7521,1791.24566621557,0.224844703100334,0.872170400633547,-15.2884105050305
"13",1972,199.074,1892.55469249764,0.105187977282325,0.408023133403412,-21.9244392497506
"14",1973,544.3623,1802.17912895403,0.302057820587427,1.17167932694715,-12.7096125316285
"15",1974,360.5092,1875.52817727647,0.192217426732298,0.745609515235268,-16.6579887728814
"16",1975,782.8984,1761.68413921235,0.444403387970577,1.72383638833709,-9.33670636996069
"17",1976,846.8127,1768.95965977353,0.478706620199814,1.85689829010245,-8.68717509977543
"18",1977,764.0211,1788.88591751937,0.427093249780545,1.65669053187684,-9.68377103151384
"19",1978,327.8753,1813.40494052487,0.180806444646114,0.701346427510725,-17.1926028318732
"20",1979,362.3557,1824.28716671832,0.198628651569059,0.770478593569458,-16.3713779012267
"21",1980,364.9275,1852.16870980743,0.197027138007283,0.764266338152565,-16.4420965447329
"22",1981,280.1517,1829.90582409574,0.153096239331572,0.59385881255883,-18.6458460112293
"23",1982,322.3018,1803.87490508389,0.178671924029572,0.693066642950003,-17.2963440038622
"24",1983,672.039,1796.11117395703,0.374163364575827,1.45137602569571,-10.8395657141996
"25",1984,349.4783,1850.97288914757,0.188807897754216,0.732383985730763,-16.8143289467199
